|track                                                                                                                                                                                            |artist                                                 |
|Quand je succombe                                                                                                                                                                                |Dolls of Pain                                          |
|Conflict Instigation                                                                                                                                                                             |Grendel                                                |
|She's on Drugs - More Than Me                                                                                                                                                                    |Alien Vampires                                         |
|Telekinetic                                                                                                                                                                                      |God Module                                             |
|Load "*",8,1                                                                                                                                                                                     |Eisenfunk                                              |
|Matte                                                                                                                                                                                            |Eden Synthetic Corps                                   |
|Find You                                                                                                                                                                                         |CygnosiC                                               |
|Zombietronix                                                                                                                                                                                     |Incubite                                               |
|FAR FROM HUMANS - Feat. SUICIDE COMMANDO                                                                                                                                                         |Alien Vampires                                         |
|Prominent Darkness                                                                                                                                                                               |God Destruction                                        |
|This Is War                                                                                                                                                                                      |Xperiment                                              |
|Chemicals + Circuitry                                                                                                                                                                            |Grendel                                                |
|Devil's Night                                                                                                                                                                                    |God Module                                             |
|The Update                                                                                                                                                                                       |X-Rx                                                   |
|Marschiert ihr Hunde                                                                                                                                                                             |Centhron                                               |
|Pestilenz                                                                                                                                                                                        |Eisenfunk                                              |
|Koprolalie                                                                                                                                                                                       |Agonoize                                               |
|Dirty                                                                                                                                                                                            |Grendel                                                |
|Angel With The Scabbed Wings                                                                                                                                                                     |God Destruction                                        |
|Perfect War                                                                                                                                                                                      |FGFC820                                                |
|Snuff Machinery - Extended                                                                                                                                                                       |[:SITD:]                                               |
|Amoeba                                                                                                                                                                                           |Flesh Field                                            |
|The Great Commandment                                                                                                                                                                            |God Module                                             |
|Void Malign                                                                                                                                                                                      |Grendel                                                |
|Scum                                                                                                                                                                                             |Santa Hates You                                        |
|Society                                                                                                                                                                                          |FGFC820                                                |
|Slutbutt                                                                                                                                                                                         |Centhron                                               |
|Soilbleed (V.3)                                                                                                                                                                                  |Grendel                                                |
|This Is The Night                                                                                                                                                                                |CygnosiC                                               |
|Riot Trigger                                                                                                                                                                                     |Incubite                                               |
|The Northern Hunter                                                                                                                                                                              |Eden Synthetic Corps                                   |
|Built for War                                                                                                                                                                                    |Nitronoise                                             |
|Victims Among Friends - Original                                                                                                                                                                 |God Module                                             |
|De Sade                                                                                                                                                                                          |Centhron                                               |
|Kakuma (The Unholy Land)                                                                                                                                                                         |God Destruction                                        |
|Show Me the Way - M.O.D. Rmx                                                                                                                                                                     |Alien Vampires                                         |
|Crash and Burn                                                                                                                                                                                   |Detroit Diesel                                         |
|Harsh Generation                                                                                                                                                                                 |Grendel                                                |
|Satisfaction                                                                                                                                                                                     |Noisuf-X                                               |
|Deadly Affair                                                                                                                                                                                    |CygnosiC                                               |
|Psycho Bitch                                                                                                                                                                                     |Alien Vampires                                         |
|Fuck off and Die                                                                                                                                                                                 |Centhron                                               |
|Orange and Black - Jasyn vs. Michael Mix                                                                                                                                                         |God Module                                             |
|Thistleblower (Grendel Remix)                                                                                                                                                                    |Grendel                                                |
|Crank It Up                                                                                                                                                                                      |X-Rx                                                   |
|She's on Drugs - More Than Me                                                                                                                                                                    |Alien Vampires                                         |
|Fire And Forget                                                                                                                                                                                  |CygnosiC                                               |
|Raubtier                                                                                                                                                                                         |Centhron                                               |
|Timewave : Zero                                                                                                                                                                                  |Grendel                                                |
|The Source                                                                                                                                                                                       |God Module                                             |
|Kein Herz                                                                                                                                                                                        |X-Rx                                                   |
|Glowstix, Neon & Blood                                                                                                                                                                           |Incubite                                               |
|See You in Hell (Feat. Johan Van Roy)                                                                                                                                                            |Alien Vampires                                         |
|Bonedance (Club Mix)                                                                                                                                                                             |iVardensphere                                          |
|Palm To Neck (Resistanz Demo)                                                                                                                                                                    |Alter Der Ruine                                        |
|Not Entertained                                                                                                                                                                                  |Tactical Sekt                                          |
|Human Evolution - Vault-113 Remix                                                                                                                                                                |Valium Era                                             |
|Disappear! - Noir Machine Mix                                                                                                                                                                    |Glis                                                   |
|Hard and Dirty - A.D.A.M. Lab4 Remix                                                                                                                                                             |Modulate                                               |
|Taste - Reaper Remix                                                                                                                                                                             |Shiv-R                                                 |
|Anti Cosmic                                                                                                                                                                                      |Alien Vampires                                         |
|Godsend                                                                                                                                                                                          |Chainreactor                                           |
|The Beast Inside                                                                                                                                                                                 |X-Fusion                                               |
|Countdown To Destruction                                                                                                                                                                         |Phosgore                                               |
|Takeover                                                                                                                                                                                         |Voster                                                 |
|The Fallacy (Exhibit A)                                                                                                                                                                          |Method Cell                                            |
|Crash Of A Star (Aesthetic Perfection Remix)                                                                                                                                                     |Kai Arnold                                             |
|We Like The Bass (Impending Boom Remix by EXAGEIST)                                                                                                                                              |Uberbyte                                               |
|Spit It Out (Grendel Remix)                                                                                                                                                                      |Aesthetic Perfection                                   |
|This Is The Night (Tanz Mix)                                                                                                                                                                     |CygnosiC                                               |
|Endermen                                                                                                                                                                                         |HarleyLikesMusic                                       |
|Voice Of Resistanz                                                                                                                                                                               |Advance                                                |
|Epiphany (GINGER SNAP5 Remix)                                                                                                                                                                    |Solitary Experiments                                   |
|Lifekiller (Feat. Lights Of Euphoria)                                                                                                                                                            |Mental Discipline                                      |
|Resist The Tanz                                                                                                                                                                                  |Ruinizer                                               |
|Destroy What Destroys You (Destroy Resistanz Mix)                                                                                                                                                |W.A.S.T.E.                                             |
|Self Reflection                                                                                                                                                                                  |Pre/verse                                              |
|Dissolve (SIRUS Remix)                                                                                                                                                                           |3TEETH                                                 |
|Body                                                                                                                                                                                             |Randolph & Mortimer                                    |
|The Spaces Between Words                                                                                                                                                                         |Cyferdyne                                              |
|A Masochist's Tale (Resistanz Mix)                                                                                                                                                               |Terrolokaust                                           |
|Seven Gates                                                                                                                                                                                      |iVardensphere                                          |
|One of the Last Bands Ever to Play Resistanz Festival (We're #104)                                                                                                                               |The Gothsicles                                         |
|In Two Words                                                                                                                                                                                     |Petrol Bastard                                         |
|Psychopath (LAB4 Reboot Mix)                                                                                                                                                                     |lab4                                                   |
|Lights out Mk. II                                                                                                                                                                                |Neonsol                                                |
|Headbanger                                                                                                                                                                                       |Modulate Sound System                                  |
|Aggressive Leader (Resistanz Mix)                                                                                                                                                                |Massiv In Mensch                                       |
|Agony (Grendel Remix)                                                                                                                                                                            |Neuroticfish                                           |
|The Sum Of Us All (SERAPHIM SYSTEM Remix)                                                                                                                                                        |Iszoloscope                                            |
|Империя Зла                                                                                                                                                                                      |Amatory                                                |
|Bordello                                                                                                                                                                                         |Virgins o.r Pigeons                                    |
|Crawl (Soman Remix)                                                                                                                                                                              |Soman                                                  |
|Leichenfeier (Executed By Incubite)                                                                                                                                                              |Vault-113                                              |
|Rhogog                                                                                                                                                                                           |iVardensphere                                          |
|Incinerator                                                                                                                                                                                      |Cease2xist                                             |
|God Loves The Violence (Violated by ALIEN VAMPIRES)                                                                                                                                              |Terrolokaust                                           |
|Haemorrhage (ALTER DER RUINE Remix)                                                                                                                                                              |Surgyn                                                 |
|March Of The Unknown (Blade Rave Remix by UBERBYTE)                                                                                                                                              |BlakOPz                                                |
|Neurosis                                                                                                                                                                                         |C-Lekktor                                              |
|Warning (feat. Javi Ssagittar)                                                                                                                                                                   |Noisuf-X                                               |
|Mercy                                                                                                                                                                                            |Stone Sour                                             |
|Hydrograd                                                                                                                                                                                        |Stone Sour                                             |
|(The World Covered In) Purple Shrouds                                                                                                                                                            |Blood Command                                          |
|Vorhang auf                                                                                                                                                                                      |Megaherz                                               |
|Toxic Garbage Island                                                                                                                                                                             |Gojira                                                 |
|Monsters Ball                                                                                                                                                                                    |Butcher Babies                                         |
|Шрамы                                                                                                                                                                                            |Tracktor Bowling                                       |
|Voskresenie (Resurrection)                                                                                                                                                                       |KYPCK                                                  |
|Нить Длиною В Жизнь                                                                                                                                                                              |Amatory                                                |
|Potomok                                                                                                                                                                                          |Arkona                                                 |
|Моя жизнь                                                                                                                                                                                        |KYPCK                                                  |
|Последний тур                                                                                                                                                                                    |KYPCK                                                  |
|Solntsevorot                                                                                                                                                                                     |Arkona                                                 |
|Etoi Pesni Net (This Song Is Not)                                                                                                                                                                |KYPCK                                                  |
|Правда                                                                                                                                                                                           |Tracktor Bowling                                       |
|Одни                                                                                                                                                                                             |Slot                                                   |
|Одинокие люди                                                                                                                                                                                    |Slot                                                   |
|Время Придумало Смерть                                                                                                                                                                           |Amatory                                                |
|Птица-печаль (Акустика)                                                                                                                                                                          |Alkonost                                               |
|Другая Жизнь                                                                                                                                                                                     |Amatory                                                |
|Доска - Live 2008                                                                                                                                                                                |Slot                                                   |
|Не Отступай                                                                                                                                                                                      |TKN                                                    |
|Ни шагу назад                                                                                                                                                                                    |Tracktor Bowling                                       |
|Темную сторону силы                                                                                                                                                                              |7000$                                                  |
|Метро                                                                                                                                                                                            |Tracktor Bowling                                       |
|2 войны                                                                                                                                                                                          |Slot                                                   |
|Быть собой                                                                                                                                                                                       |7000$                                                  |
|Поцелуй Мою Кровь                                                                                                                                                                                |Amatory                                                |
|Устала                                                                                                                                                                                           |Tracktor Bowling                                       |
|Чем пахнут ремесла                                                                                                                                                                               |7000$                                                  |
|Сломанный Мир                                                                                                                                                                                    |Amatory                                                |
|Я помню                                                                                                                                                                                          |Tracktor Bowling                                       |
|Deti Birkenau (The Children Of Birkenau)                                                                                                                                                         |KYPCK                                                  |
|Империи должны умереть                                                                                                                                                                           |7000$                                                  |
|Нас Никто Не Остановит                                                                                                                                                                           |Amatory                                                |
|Ступени                                                                                                                                                                                          |Tracktor Bowling                                       |
|Унесённые пеплом                                                                                                                                                                                 |[AMATORY]                                              |
|Белый Шум                                                                                                                                                                                        |Amatory                                                |
|Arkaim                                                                                                                                                                                           |Arkona                                                 |
|Снег В Аду                                                                                                                                                                                       |Amatory                                                |
|Kolo Navi                                                                                                                                                                                        |Arkona                                                 |
|Scars Theme                                                                                                                                                                                      |Tracktor Bowling                                       |
|Сердце                                                                                                                                                                                           |Tracktor Bowling                                       |
|Слой Пепла                                                                                                                                                                                       |Slot                                                   |
|Ответ Знает...                                                                                                                                                                                   |[AMATORY]                                              |
|Другие                                                                                                                                                                                           |[AMATORY]                                              |
|Черно-Белые Дни                                                                                                                                                                                  |Amatory                                                |
|Вперёд                                                                                                                                                                                           |7000$                                                  |
|Прогулка по Неве                                                                                                                                                                                 |KYPCK                                                  |
|Po Zverinym Tropam                                                                                                                                                                               |Arkona                                                 |
|Кукла вуду                                                                                                                                                                                       |Slot                                                   |
|Стеклянные Люди                                                                                                                                                                                  |Amatory                                                |
|Сквозь Закрытые Веки                                                                                                                                                                             |Amatory                                                |
|Унесённые пеплом                                                                                                                                                                                 |[AMATORY]                                              |
|Негатив                                                                                                                                                                                          |[AMATORY]                                              |
|Другие                                                                                                                                                                                           |[AMATORY]                                              |
|Остановить время                                                                                                                                                                                 |Amatory                                                |
|На грани                                                                                                                                                                                         |[AMATORY]                                              |
|Против всех                                                                                                                                                                                      |[AMATORY]                                              |
|15/03                                                                                                                                                                                            |[AMATORY]                                              |
|Имя война                                                                                                                                                                                        |[AMATORY]                                              |
|Прощай                                                                                                                                                                                           |Amatory                                                |
|Первый                                                                                                                                                                                           |[AMATORY]                                              |
|This Is the New Shit                                                                                                                                                                             |Marilyn Manson                                         |
|Renegade                                                                                                                                                                                         |Daughtry                                               |
|Many Faces                                                                                                                                                                                       |Flaw                                                   |
|Another Way to Die                                                                                                                                                                               |Disturbed                                              |
|God of the Mind                                                                                                                                                                                  |Disturbed                                              |
|Who's Going Home With You Tonight?                                                                                                                                                               |Trapt                                                  |
|Awake                                                                                                                                                                                            |Godsmack                                               |
|Everywhere I Go                                                                                                                                                                                  |Hollywood Undead                                       |
|Dragula                                                                                                                                                                                          |Rob Zombie                                             |
|Psychosocial                                                                                                                                                                                     |Slipknot                                               |
|Them Bones                                                                                                                                                                                       |Alice in Chains                                        |
|'Till I Collapse                                                                                                                                                                                 |Eminem                                                 |
|Becoming the Bull                                                                                                                                                                                |Atreyu                                                 |
